# beta	delta
nan -8.561174848123187520e-01
nan -8.559469644595435467e-01
nan -8.557764754350868364e-01
nan -8.556060177303155267e-01
nan -8.554355913366000763e-01
nan -8.552651962453143852e-01
nan -8.550948324478347962e-01
nan -8.549244999355413155e-01
nan -8.547541986998172803e-01
nan -8.545839287320489142e-01
nan -8.544136900236252163e-01
nan -8.542434825659391828e-01
nan -8.540733063503865852e-01
nan -8.539031613683658595e-01
nan -8.537330476112795496e-01
nan -8.535629650705328642e-01
nan -8.533929137375335650e-01
nan -8.532228936036938549e-01
nan -8.530529046604280463e-01
nan -8.528829468991541152e-01
nan -8.527130203112928131e-01
nan -8.525431248882685553e-01
nan -8.523732606215083107e-01
nan -8.522034275024426009e-01
nan -8.520336255225050559e-01
nan -8.518638546731321926e-01
nan -8.516941149457637472e-01
nan -8.515244063318432310e-01
nan -8.513547288228161536e-01
nan -8.511850824101317992e-01
nan -8.510154670852430048e-01
nan -8.508458828396048279e-01
nan -8.506763296646758787e-01
nan -8.505068075519182091e-01
nan -8.503373164927967576e-01
nan -8.501678564787790160e-01
nan -8.499984275013366952e-01
nan -8.498290295519437265e-01
nan -8.496596626220774828e-01
nan -8.494903267032186678e-01
nan -8.493210217868510936e-01
nan -8.491517478644609040e-01
nan -8.489825049275383506e-01
nan -8.488132929675765714e-01
nan -8.486441119760711471e-01
nan -8.484749619445216551e-01
nan -8.483058428644304483e-01
nan -8.481367547273027663e-01
nan -8.479676975246472903e-01
nan -8.477986712479755882e-01
nan -8.476296758888022254e-01
nan -8.474607114386453199e-01
nan -8.472917778890258766e-01
nan -8.471228752314676758e-01
nan -8.469540034574978282e-01
nan -8.467851625586469977e-01
nan -8.466163525264481793e-01
nan -8.464475733524378098e-01
nan -8.462788250281558788e-01
nan -8.461101075451443743e-01
nan -8.459414208949492808e-01
nan -8.457727650691196919e-01
nan -8.456041400592070323e-01
nan -8.454355458567665016e-01
nan -8.452669824533561860e-01
nan -8.450984498405375023e-01
nan -8.449299480098740878e-01
nan -8.447614769529336876e-01
nan -8.445930366612867113e-01
nan -8.444246271265063442e-01
nan -8.442562483401693241e-01
nan -8.440879002938553866e-01
nan -8.439195829791471537e-01
nan -8.437512963876302452e-01
nan -8.435830405108937224e-01
nan -8.434148153405294224e-01
nan -8.432466208681322906e-01
nan -8.430784570853004922e-01
nan -8.429103239836349681e-01
nan -8.427422215547401008e-01
nan -8.425741497902230481e-01
nan -8.424061086816939659e-01
nan -8.422380982207663402e-01
nan -8.420701183990569882e-01
nan -8.419021692081847252e-01
nan -8.417342506397723634e-01
nan -8.415663626854458235e-01
nan -8.413985053368332467e-01
nan -8.412306785855665492e-01
nan -8.410628824232805334e-01
nan -8.408951168416131106e-01
nan -8.407273818322047454e-01
nan -8.405596773866996774e-01
nan -8.403920034967449215e-01
nan -8.402243601539899354e-01
nan -8.400567473500882842e-01
nan -8.398891650766958650e-01
nan -8.397216133254715720e-01
nan -8.395540920880778524e-01
nan -8.393866013561798178e-01
nan -8.392191411214454666e-01
nan -8.390517113755463496e-01
nan -8.388843121101565714e-01
nan -8.387169433169534560e-01
nan -8.385496049876173252e-01
nan -8.383822971138317204e-01
nan -8.382150196872828474e-01
nan -8.380477726996601318e-01
nan -8.378805561426563298e-01
nan -8.377133700079665291e-01
nan -8.375462142872892590e-01
nan -8.373790889723263797e-01
nan -8.372119940547820827e-01
nan -8.370449295263637790e-01
nan -8.368778953787825436e-01
nan -8.367108916037517830e-01
nan -8.365439181929876789e-01
nan -8.363769751382104101e-01
nan -8.362100624311422647e-01
nan -8.360431800635087507e-01
nan -8.358763280270387064e-01
nan -8.357095063134640789e-01
nan -8.355427149145188137e-01
nan -8.353759538219409642e-01
nan -8.352092230274713591e-01
nan -8.350425225228531589e-01
nan -8.348758522998334097e-01
nan -8.347092123501616001e-01
nan -8.345426026655904383e-01
nan -8.343760232378754083e-01
nan -8.342094740587754353e-01
nan -8.340429551200518876e-01
nan -8.338764664134694637e-01
nan -8.337100079307958600e-01
nan -8.335435796638014372e-01
nan -8.333771816042599978e-01
nan -8.332108137439482309e-01
nan -8.330444760746452681e-01
nan -8.328781685881339047e-01
nan -8.327118912761998226e-01
nan -8.325456441306312572e-01
nan -8.323794271432196634e-01
nan -8.322132403057598271e-01
nan -8.320470836100488654e-01
nan -8.318809570478871152e-01
nan -8.317148606110783549e-01
nan -8.315487942914288055e-01
nan -8.313827580807474638e-01
nan -8.312167519708469898e-01
nan -8.310507759535427086e-01
nan -8.308848300206523874e-01
nan -8.307189141639975682e-01
nan -8.305530283754025689e-01
nan -8.303871726466941494e-01
nan -8.302213469697025117e-01
nan -8.300555513362608551e-01
nan -8.298897857382050436e-01
nan -8.297240501673740498e-01
nan -8.295583446156098439e-01
nan -8.293926690747572827e-01
nan -8.292270235366639985e-01
nan -8.290614079931812874e-01
nan -8.288958224361624438e-01
nan -8.287302668574640929e-01
nan -8.285647412489464125e-01
nan -8.283992456024713569e-01
nan -8.282337799099045439e-01
nan -8.280683441631149222e-01
nan -8.279029383539734388e-01
nan -8.277375624743544824e-01
nan -8.275722165161355504e-01
nan -8.274069004711969155e-01
nan -8.272416143314214043e-01
nan -8.270763580886953958e-01
nan -8.269111317349079338e-01
nan -8.267459352619508373e-01
nan -8.265807686617190342e-01
nan -8.264156319261106720e-01
nan -8.262505250470258966e-01
nan -8.260854480163689617e-01
nan -8.259204008260464525e-01
nan -8.257553834679676186e-01
nan -8.255903959340450404e-01
nan -8.254254382161942960e-01
nan -8.252605103063335168e-01
nan -8.250956121963839429e-01
nan -8.249307438782699231e-01
nan -8.247659053439182486e-01
nan -8.246010965852589303e-01
nan -8.244363175942253097e-01
nan -8.242715683627528378e-01
nan -8.241068488827800742e-01
nan -8.239421591462492422e-01
nan -8.237774991451043416e-01
nan -8.236128688712930357e-01
nan -8.234482683167657635e-01
nan -8.232836974734758506e-01
nan -8.231191563333791761e-01
nan -8.229546448884352827e-01
nan -8.227901631306057117e-01
nan -8.226257110518554461e-01
nan -8.224612886441525772e-01
