# Time	a_winner	a_loosers
2.051912900000000093e+02 1.645722725188763391e+01 1.429942851452347952e-01
2.065476400000000012e+02 1.664128719518407706e+01 1.393130862793058589e-01
2.079402599999999950e+02 1.683453996166161559e+01 1.354480309497551049e-01
2.093328799999999887e+02 1.703774484027425373e+01 1.313839333775024543e-01
2.107255199999999888e+02 1.725177633039657366e+01 1.271033035750560314e-01
2.121181699999999921e+02 1.747765193099711212e+01 1.225857915630451517e-01
2.135074899999999900e+02 1.771656938076773713e+01 1.178074425676326892e-01
2.149794599999999889e+02 1.796995764477730617e+01 1.127396772874411507e-01
2.163511699999999962e+02 1.823954856524191470e+01 1.073478588781491411e-01
2.177226200000000063e+02 1.852748040353499803e+01 1.015892221122873390e-01
2.190937999999999874e+02 1.883645295071509906e+01 9.540977116868532004e-02
2.204647099999999966e+02 1.916996999036715010e+01 8.873943037564424596e-02
2.219353299999999933e+02 1.953273898980032541e+01 8.148405038698079694e-02
2.233056500000000142e+02 1.993137637133391848e+01 7.351130275630898825e-02
2.246756300000000124e+02 2.037577007135002916e+01 6.462342875598668657e-02
2.260452400000000068e+02 2.088207076324494693e+01 5.449741491808855059e-02
2.274771800000000042e+02 2.148068936360150971e+01 4.252504291095708655e-02
2.289062000000000126e+02 2.224704479267168011e+01 2.719793432955363785e-02
2.302269599999999912e+02 2.360680627114610886e+01 0.000000000000000000e+00
2.358741599999999892e+02 2.360680627114610886e+01 0.000000000000000000e+00
